trade_date,ticker,net_buy_amount,consecutive_buy_days,buy_intensity_pct,open,close,future_return_20d
2026-02-02,012450,7881774500,1,0.012337044872757231,1320000,1239000,0
2026-02-02,012510,1015111100,1,0.036514462869872824,94500,91500,0
2026-02-02,012630,-77798220,0,-0.006736899632873246,18720,19330,0
2026-02-02,0126Z0,-423425500,0,-0.0029138055564796807,600000,584000,0
2026-02-02,012750,1098161600,1,0.03594479430096936,80300,80400,0
2026-02-02,013030,-18255850,0,-0.004847793437095943,33150,32000,0
2026-02-02,014620,-30222900,0,-0.0036592390255777386,31500,31100,0
2026-02-02,014680,470768000,1,0.015185203208953793,279500,273500,0
2026-02-02,014820,-194372400,0,-0.02492383667942547,28400,26900,0
2026-02-02,014830,922063500,1,0.17159540203634355,78300,79400,0
2026-02-02,015360,77742300,1,0.017690012970168614,77600,77100,0
2026-02-02,015750,8090,1,1.3133116883116883e-06,7750,7700,0
2026-02-02,015760,-2614715700,0,-0.007108191608237707,57300,57300,0
2026-02-02,016360,-433608650,0,-0.005801242506097471,89300,83700,0
2026-02-02,016380,-224718010,0,-0.04168794408483926,5590,5390,0
2026-02-02,017390,32272700,1,0.010038164852255055,66700,64300,0
2026-02-02,017670,6318111500,1,0.04256915930196201,71500,69100,0
2026-02-02,017800,-1578939000,0,-0.043151642986879436,93700,93600,0
2026-02-02,017940,43440900,1,0.007320800822393367,88700,86500,0
2026-02-02,017960,4606100,1,0.0002777310411685042,33400,31950,0
2026-02-02,018260,-3269334650,0,-0.02516473164608586,172500,167900,0
2026-02-02,018670,247907500,1,0.012051504657269781,231500,222500,0
2026-02-02,018880,-1185495,0,-3.6098675409915956e-05,3235,3200,0
2026-02-02,020000,1061933410,1,0.25819960458437347,17890,18330,0
2026-02-02,020120,-1980526,0,-0.001712680719921916,3185,3120,0
2026-02-02,020150,-39595850,0,-0.002054740134318317,37450,36800,0
2026-02-02,020560,-142465605,0,-0.009209211626048522,7610,7510,0
2026-02-02,021240,132829150,1,0.0022095460817501576,84200,83600,0
2026-02-02,022100,-150254650,0,-0.002635444344210767,37650,37500,0
2026-02-02,023160,879462700,1,0.12666897594699697,27650,26200,0
2026-02-02,023530,1214055350,1,0.05152045043197921,85000,83300,0
2026-02-02,023590,-224894975,0,-0.010431890874352515,51400,48050,0
2026-02-02,024110,163399300,1,0.0009399470252130676,22200,21800,0
2026-02-02,025000,14344050,1,0.006867636933123152,48400,47700,0
2026-02-02,025320,98337990,1,0.014157885480616465,7510,7540,0
2026-02-02,025540,-965300500,0,-0.1329144503942819,74100,71800,0
2026-02-02,025980,8180,1,1.0878899134752775e-06,8170,7940,0
2026-02-02,026890,-16518830,0,-0.003529318345638919,11300,11230,0
2026-02-02,026960,-1021450,0,-4.073652368636725e-05,26400,25150,0
2026-02-02,028050,1314336500,1,0.021772072952557647,30450,30800,0
2026-02-02,028260,-1185948250,0,-0.0023976387821597906,300500,291000,0
2026-02-02,028300,61314150,1,0.0008501622054369134,57200,54200,0
2026-02-02,028670,638251978,1,0.02466849313853682,4635,4840,0
2026-02-02,029530,292830850,1,0.05419887310706816,50200,53600,0
2026-02-02,029780,9480300,1,0.00014904601504367034,56800,54900,0
2026-02-02,030000,1425309675,1,0.058718273874414195,22000,21100,0
2026-02-02,030200,-1898361850,0,-0.013645894489054657,57300,55200,0
2026-02-02,030610,200836150,1,0.015805320083190747,11820,11150,0
2026-02-02,031210,552013025,1,0.01590754469908983,49500,49700,0
2026-02-02,031330,-739968802,0,-0.16210411970684946,4550,4565,0
2026-02-02,031430,53924020,1,0.012875393178197843,11960,11850,0
2026-02-02,031980,-721902750,0,-0.045488737578427224,77300,73600,0
2026-02-02,032350,1530644975,1,0.07728449148975104,25200,24900,0
2026-02-02,032500,120166170,1,0.016247298725810586,18100,18070,0
2026-02-02,032640,1174804570,1,0.017189903600988314,16060,15900,0
2026-02-02,032820,9280,1,6.345485503856216e-07,8920,8770,0
2026-02-02,032830,1056743600,1,0.0029517977653631283,188000,179000,0
2026-02-02,033100,68668225,1,0.009794017895528272,47750,43650,0
2026-02-02,033160,269657110,1,0.11993556998889711,9950,9950,0
2026-02-02,033240,89975050,1,0.013025266601508087,30150,31750,0
2026-02-02,033500,-238363750,0,-0.029880608299302103,27600,26600,0
2026-02-02,033530,-104861610,0,-0.036381838237101255,10600,10360,0
2026-02-02,033780,7657834300,1,0.04195846672709984,155500,154700,0
2026-02-02,034020,-7173487900,0,-0.012991596148008256,87800,86200,0
2026-02-02,034220,-4028698625,0,-0.07298367074275362,11590,11040,0
2026-02-02,034230,757797815,1,0.04707681788700501,17900,17420,0
2026-02-02,034730,-2862454500,0,-0.013182190012220315,325000,299500,0
2026-02-02,035250,-838879295,0,-0.022984096801596455,17520,17060,0
2026-02-02,035420,-2725202000,0,-0.006482941127904063,270000,268000,0
2026-02-02,035510,16668290,1,0.006720511103475741,18120,17740,0
2026-02-02,035720,-4341356350,0,-0.016799795863192274,60500,58400,0
2026-02-02,035760,-34683850,0,-0.002325929297806285,72300,68000,0
2026-02-02,035900,-72727650,0,-0.002928172866962359,72000,69900,0
2026-02-02,036460,-871622675,0,-0.02396455853323121,39500,39400,0
2026-02-02,036530,-33700700,0,-0.003990414702928272,54300,51800,0
2026-02-02,036540,7470,1,6.516685132689813e-07,7700,6970,0
2026-02-02,036570,416893250,1,0.008795801072714361,228500,220000,0
2026-02-02,036620,-64318335,0,-0.010512873101865706,6690,6760,0
2026-02-02,036810,-1442648550,0,-0.15369662073255855,44500,42750,0
2026-02-02,036890,-279841580,0,-0.08957149234686909,14140,14180,0
2026-02-02,036930,153405725,1,0.007944733440528082,42600,40850,0
2026-02-02,038290,36399480,1,0.018652511053308,19200,18000,0
2026-02-02,039030,-32211000,0,-0.0007375528131153518,372500,354500,0
2026-02-02,039130,39199575,1,0.0056111942736972115,45900,45100,0
2026-02-02,039200,-1303851500,0,-0.0668241886029133,52800,51000,0
2026-02-02,039440,239540575,1,0.04543296366749752,36400,34000,0
2026-02-02,039490,1243412750,1,0.011033211826404859,434000,417000,0
2026-02-02,039570,-15370750,0,-0.007319509602029177,8250,8090,0
2026-02-02,041190,8150,1,1.2438949938949939e-06,8080,7800,0
2026-02-02,041510,-2397053950,0,-0.09895947294226563,111600,105800,0
2026-02-02,041830,1413600,1,0.000330266481419163,31650,31750,0
2026-02-02,042000,78013350,1,0.008960000732922085,37650,35900,0
2026-02-02,042520,386450725,1,0.06437909525519402,39000,42150,0
2026-02-02,042660,-126901100,0,-0.0003099924975649503,139500,133600,0
2026-02-02,042700,-10527491750,0,-0.059034056714847516,205000,187100,0
2026-02-02,045100,-331871850,0,-0.06218322091062395,31200,29650,0
2026-02-02,046890,7480,1,1.80182589906391e-06,7620,7120,0
2026-02-02,047040,-1460810,0,-7.239445523013183e-05,4825,4855,0
2026-02-02,047050,1212050850,1,0.011276063974789287,61500,61100,0
2026-02-02,047810,8692593050,1,0.055735980430880676,165700,160000,0
2026-02-02,050890,-281571765,0,-0.05570225618259619,8180,8320,0
2026-02-02,051600,-491290150,0,-0.02010600163699611,55400,54300,0
2026-02-02,051900,-1085295750,0,-0.02759648407800733,260500,257000,0
2026-02-02,051910,-6994084250,0,-0.03341554626121486,312000,296500,0
2026-02-02,051915,-36922500,0,-0.003209969762254369,159100,149600,0
2026-02-02,052400,-29719600,0,-0.0035739405504009456,59900,57100,0
2026-02-02,052690,-702415150,0,-0.014655669101157823,127400,125400,0
2026-02-02,052710,436208070,1,0.30486596686054146,9930,9790,0
2026-02-02,053030,154974890,1,0.03047291808343404,15760,15560,0
2026-02-02,053210,26706025,1,0.011731952618843508,4885,4790,0
2026-02-02,053690,194670140,1,0.09761453553450852,18660,18200,0
2026-02-02,053700,100828510,1,0.04996809542986058,8260,8110,0
2026-02-02,055550,-8809139500,0,-0.021993524753205453,85000,82500,0
2026-02-02,057050,-10708950,0,-0.0015601617132867133,57800,57200,0
2026-02-02,058470,-7776897000,0,-0.10775411492446132,100700,94700,0
2026-02-02,058610,753056100,1,0.022866043787379782,150000,148500,0
2026-02-02,058970,195826500,1,0.04005666058326651,40850,39550,0
2026-02-02,059090,-195687750,0,-0.03334836565221429,17170,17560,0
2026-02-02,060250,23600,1,2.5830349975567788e-06,24200,22750,0
